Author,Rating,Review
Poe,4,My first time to read and finish a collection by Edgar Allan Poe and I was just blown away. This was one of my two Halloween reads this year and it made my long Halloween weekend truly worth remembering.
Poe,4,"The best (so far) poem in this collection. It is many things to me: it is painful and sad (the speaker is lamenting the lost of his love Lenore - see #25) yet it is musical and not really gloomy, overall. The verses are playful and you can imagine the raven flying in the air, through the window, and settling on the statue. The raven also talks - it keeps on saying ""Nevermore"" - and it adds to the childlike playful prose. It is sad yet it is happy (in a way). However, the playful scene ends when the speaker begins to talk to the raven while sitting on the statue of Pallas. He asks if he is to be reunited with Lenore and when the raven says ""Nevermore,"" he gets angry and the feeling of doom dawns on the poem."
Poe,1,VERY creepy! We were forced to read it in English... AHH!!!
Poe,3,"One of my favorite childhood books. Yes, I had one weird childhood.
"
Poe,3,I think makes Poe so memorable is his vivid first-person accounts from the point of view of a killer.
Poe,3,"Silly, amusing, but ends a bit too abruptly."
Poe,5,This was my first ever collection i have read of mr. Poe and I enjoyed most of the stories in this collection. The collection was my pick for all hallow's read to read for Halloween this year. I also hosted a readalong of this collection online on facebook andat the all about books book club on goodreads. This month from october 20th through tonight we read and discussed the stories by poe that was in this collection along with the novel A narrative of A. Gordon Pym. It also included my favorite poe story The Masque of the Red Death which I first read in middle school. It is still a favorite to this day. The only stories I did not enjoy were diddling and the man that was used up. I would definitely reccomend this colle ction to others
Poe,5,"This is my favorite of all Poe's stories. (Which considering my love for him, was not an easy choice to make.) I have read it several times over, numerous times out-loud and in scary voices to entertain my little brother :). It's incredible how Poe can write in this helter skelter fashion so that you really don't know exactly what's going on-- and then in one final paragraph, or even the final sentence, he brings it all together and has you so thoroughly creeped out and simultaneously blown your mind, you need to go back and re-read it immediately. He was an opium induced genius and no one can ever compare to his rhythmic, sing-song, and deliriously fluid writing."
Poe,2,"Look, I know he's very famous and I know he's written some good stuff but hear me out: this is not the Poe collection that you want. Yes, it contains ""The Fall of the House of Usher"" which is a five star horror story if ever there was one. Yes, it also contains a selection of his other short stories, which admittedly I do not find as excellent as many do, but which I would still give a solid three stars in general. HOWEVER. Fully one half of this particular edition is not a short story at all. It is the entire 200 pages of Poe's only novel, ""The Narrative of Arthur Gordon Pym of Nantucket"" - and I have no hesitation in saying that it is a strong contender for the worst novel ever written. Seriously, the thing is dire. It's patched together and badly edited. My favourite example of how disastrous this is comes in the death of a man aboard ship. His arm has been injured. It turns gangrenous and nasty, starts to putrefy in a number of disgusting ways. Yet when this poor victim dies and is in the process of being tossed overboard, it's not his disintegrating arm, black to the shoulder, that falls off, no. It's his leg. Poe did not notice. Clearly neither did his editor. I imagine they'd both given up by then."
Poe,3,after reading this im pretty sure there is a corpse (or many) in the walls of one of EAP’s old houses. Worrying
Poe,3,"I liked these stories, some more than others. I was a Poe fan before and glad to revisit these stories. Some of the language though was hard to get through. You can infer a lot from context, but at times felt like I needed a dictionary."
Poe,3,"Poe's stories are so varied. Some put me to sleep, some are good and all are dark and creepy. My favorite has always been ""The Fall of the House of Usher"". Poe is also mentioned in another book I'm reading now. That imply that must live crypts and corpses and from his stories it would appear he does."
Poe,2,"A short story on my book reader. Frankly, I was disappointed. It was such a famous story, maybe my expectations were to high. A lot of complicated sentences. And I had to run to the dictionary several times. Maybe that was the style back then. Worth reading if you are into the horror genre"
Poe,5,"I love Edgar Allan Poe-- what a storyteller! And this short story was one of his greatest achievements. A story of an old decrepit building that's a haunting window into the evil that resided within its walls. I also enjoyed how it symbolizes a state of building within each one of us, ostensibly perfect on the outside but shattered and fragile on the inside. Amazing story!"
Poe,4,I love how vividly edgar allen poe brings together a story in so little time.
M.R. James,4,"M.R. James, the leading exponent of the antiquarian ghost story and the writer who is regarded as having laid down the rules for modern ghost fiction maintained tha ghosts had to be malevolent or odious. That description certainly fits the being whose recrudescence from the past haunts the cathedral of his tale."
M.R. James,4,"In comparison to the early chillers penned by the Master, this story is different, and relies more upon psychological effects than atmospheric. But despite being erudite with an undertone of dark humour, this story is claustrophobic and horrific. Obviously recommended."
M.R. James,3,"Well this was certainly more exciting that its title suggested. Here, James presents the eerie consequences suffered by a rural English town, when, during controversial restorations of a church, an undisclosed tomb is discovered underneath the altar. This is one of James's better ghost stories. The ending bares strong similarities to many other of his stories ... the guy seems to have a thing for ""hairy"" monsters ... but all the same, the execution was fresh and creepy this time around."
M.R. James,5,"Read it for Halloween, or if you want a good scare."
